epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,g
0,0.0,26.0,26,False,False,(((((Om)**(0.5)))**(0.5))-(((a)**(2))/((((-((w/(1.0/(((1.0/(1.0-Om))+sigma8)+sigma8))))+w))**(-1))+a))),"[sub sqrt sqrt Om div n2 a add inv add neg div w div 1.0 add add div 1.0
 sub 1.0 Om sigma8 sigma8 w a]",1.0,1.0
0,0.0,24.0,24,False,False,((exp((sigma8*1.0))*a)/(((g)**(-1))*(((((-(((-((1.0/((1.0)**(-1))))-a)-g)))**(0.5))+1.0))**(2)))),"[div mul exp mul sigma8 1.0 a mul inv g n2 add sqrt neg sub sub neg div
 1.0 inv 1.0 a g 1.0]",1.0,1.0
0,0.18927874997348318,7.0,7,True,False,log((((sigma8)**(2))/-(((sigma8)**(2))))),[log div n2 sigma8 neg n2 sigma8],1.0,1.0
0,0.0,27.0,27,False,False,(g/(((((((((a*g)*(((w*(g/((g*g)+g))))**(-1)))-w)-g)+Om)+sigma8)-a))**(0.5))),"[div g sqrt sub add add sub sub mul mul a g inv mul w div g add mul g g g
 w g Om sigma8 a]",1.0,1.0
0,0.1734670824310121,9.0,9,True,False,(1.0/(1.0-((exp((w-1.0)))**(2)))),[div 1.0 sub 1.0 n2 exp sub w 1.0],1.0,1.0
0,4.4068245323519386e-34,14.0,14,True,False,exp(((w+((((-(w))**(-1)))**(0.5)))+((((w*w)-1.0))**(-1)))),[exp add add w sqrt inv neg w inv sub mul w w 1.0],1.0,1.0
0,0.0,24.0,24,False,False,exp(-(((g*w)*((((w)**(2))*((log(1.0))**(2)))*((w*((Om*(w/g))+w))-w))))),"[exp neg mul mul g w mul mul n2 w n2 log 1.0 sub mul w add mul Om div w g
 w w]",1.0,1.0
0,0.0,25.0,25,False,False,(((a/-(((g/w)/((sigma8)**(0.5)))))/sigma8)/(((Om*(((a*w)+a)-w))-sigma8)-a)),"[div div div a neg div div g w sqrt sigma8 sigma8 sub sub mul Om sub add
 mul a w a w sigma8 a]",1.0,1.0
0,0.0,26.0,26,False,False,(((sigma8)**(0.5))+((exp((((g*-(((((a/((((((((-(a)+a)+sigma8)-sigma8)+a))**(0.5)))**(0.5))))**(0.5))+a))))**(2))))**(0.5))),"[add sqrt sigma8 sqrt exp n2 mul g neg add sqrt div a sqrt sqrt add sub
 add add neg a a sigma8 sigma8 a a]",1.0,1.0
0,5.157768700514763e-35,14.0,14,True,False,(exp(((((log(w))**(2)))**(-1)))-((sigma8-(log(w)+sigma8))/1.0)),[sub exp inv n2 log w div sub sigma8 add log w sigma8 1.0],1.0,1.0
0,0.17603503420996539,14.0,14,True,False,((((((-((Om+log(((((exp(1.0)*sigma8)+Om))**(2))))))**(0.5)))**(-1)))**(0.5)),[sqrt inv sqrt neg add Om log n2 add mul exp 1.0 sigma8 Om],1.0,1.0
0,0.24047531945080436,14.0,14,True,True,(-(exp((sigma8/(1.0+log((1.0*((-(sigma8))**(0.5))))))))/1.0),[div neg exp div sigma8 add 1.0 log mul 1.0 sqrt neg sigma8 1.0],1.0,1.0
0,0.15819359967219393,21.0,21,True,False,exp(((((((((Om/-((1.0/(1.0*sigma8)))))**(0.5))*a)-a)*((a)**(-1)))+Om)-w)),"[exp sub add mul sub mul sqrt div Om neg div 1.0 mul 1.0 sigma8 a a inv a
 Om w]",1.0,1.0
0,0.010837935630059964,12.0,12,True,False,(-(((w)**(0.5)))-(((((((-(Om))**(-1)))**(2))+log(w)))**(2))),[sub neg sqrt w n2 add n2 inv neg Om log w],1.0,1.0
0,0.0,25.0,25,False,False,(w/((exp(((-(((a+-(((-((1.0/((a*((((Om/sigma8))**(2))-Om))+g))))**(0.5))))/Om)))**(-1))))**(-1))),"[div w inv exp inv neg div add a neg sqrt neg div 1.0 add mul a sub n2 div
 Om sigma8 Om g Om]",1.0,1.0
0,0.0,26.0,26,False,False,exp(((w/((sigma8)**(0.5)))-((-((a*(sigma8*-(((((Om/((a*a)+sigma8)))**(0.5))-1.0)))))+w)-w))),"[exp sub div w sqrt sigma8 sub add neg mul a mul sigma8 neg sub sqrt div
 Om add mul a a sigma8 1.0 w w]",1.0,1.0
0,0.0,22.0,22,False,False,(Om+log((((a/(-((((((a)**(2))+(sigma8/((((((g*sigma8))**(0.5)))**(-1))+Om))))**(0.5)))-w)))**(2)))),"[add Om log n2 div a sub neg sqrt add n2 a div sigma8 add inv sqrt mul g
 sigma8 Om w]",1.0,1.0
0,0.0,23.0,23,False,False,(sigma8/(((-((((log(sigma8))**(0.5))/w))/((a*(((sigma8/(((((((1.0)**(2)))**(-1))+sigma8))**(2))))**(-1)))-1.0)))**(2))),"[div sigma8 n2 div neg div sqrt log sigma8 w sub mul a inv div sigma8 n2
 add inv n2 1.0 sigma8 1.0]",1.0,1.0
0,0.0,27.0,27,False,False,(((1.0)**(-1))-(log((((((-(((a)**(-1)))*1.0)/(((((((g/(((w/sigma8))**(-1)))+w)+1.0))**(2)))**(2))))**(-1))-Om))/sigma8)),"[sub inv 1.0 div log sub inv div mul neg inv a 1.0 n2 n2 add add div g inv
 div w sigma8 w 1.0 Om sigma8]",1.0,1.0
0,0.0,27.0,27,False,False,(((-((1.0/((-(((g*(((((-((((((((a/-(Om))+Om))**(-1)))**(2))+sigma8)))**(-1))+g))**(2)))+a)))**(-1)))))**(2))-w),"[sub n2 neg div 1.0 inv neg add mul g n2 add inv neg add n2 inv add div a
 neg Om Om sigma8 g a w]",1.0,1.0
0,0.17860302562311356,16.0,16,True,False,((((-((w*(w/(g/(sigma8*((g+g)+g)))))))**(0.5)))**(-1)),[inv sqrt neg mul w div w div g mul sigma8 add add g g g],1.0,1.0
0,0.17563031533523318,20.0,20,True,False,((((((log(-(((((((((sigma8*a))**(2))/(Om/((((a)**(2)))**(-1)))))**(-1)))**(0.5))))-1.0)*1.0))**(-1)))**(0.5)),"[sqrt inv mul sub log neg sqrt inv div n2 mul sigma8 a div Om inv n2 a 1.0
 1.0]",1.0,1.0
0,0.054280200587122594,9.0,9,True,False,(((w/(Om*log((1.0+1.0)))))**(2)),[n2 div w mul Om log add 1.0 1.0],1.0,1.0
0,0.0,23.0,23,False,False,(((((-(g)/((((exp(sigma8)*(((g-(((((a*-((sigma8/((g)**(2))))))**(-1)))**(0.5))))**(2)))+Om))**(0.5))))**(0.5)))**(0.5)),"[sqrt sqrt div neg g sqrt add mul exp sigma8 n2 sub g sqrt inv mul a neg
 div sigma8 n2 g Om]",1.0,1.0
0,0.18947617230868688,14.0,14,True,False,(Om-(a/(a*((((((log(sigma8)*w))**(-1)))**(2))*Om)))),[sub Om div a mul a mul n2 inv mul log sigma8 w Om],1.0,1.0
0,0.15316523335375404,14.0,14,True,False,(((1.0/-(log((-((((((exp(Om))**(-1)))**(0.5))+w))+w)))))**(0.5)),[sqrt div 1.0 neg log add neg add sqrt inv exp Om w w],1.0,1.0
0,0.1652437288486283,17.0,17,True,False,(((g/((((((log((Om+(-(1.0)+sigma8)))/((g)**(2))))**(-1)))**(0.5))+g)))**(-1)),[inv div g add sqrt inv div log add Om add neg 1.0 sigma8 n2 g g],1.0,1.0
0,0.0,28.0,28,False,False,((((((w/(-((a-(((-((a/((((((((sigma8*a))**(-1)))**(2))+sigma8)-w)+Om))))**(0.5))+g)))/a)))**(2))/sigma8))**(0.5)),"[sqrt div n2 div w div neg sub a add sqrt neg div a add sub add n2 inv mul
 sigma8 a sigma8 w Om g a sigma8]",1.0,1.0
0,0.21000011490026807,14.0,14,True,False,((log(((1.0*(Om/(((w/sigma8))**(-1))))+(w-w))))**(-1)),[inv log add mul 1.0 div Om inv div w sigma8 sub w w],1.0,1.0
0,0.19069463747068388,5.0,5,True,False,(log(sigma8)/((Om)**(-1))),[div log sigma8 inv Om],1.0,1.0
0,0.14423013659474931,12.0,12,True,False,-((((-(1.0)/Om)+(-(sigma8)/sigma8))-w)),[neg sub add div neg 1.0 Om div neg sigma8 sigma8 w],1.0,1.0
0,0.16525762526758406,12.0,12,True,False,(((sigma8/(a*((Om/1.0)/(a/w)))))**(0.5)),[sqrt div sigma8 mul a div div Om 1.0 div a w],1.0,1.0
0,0.0,23.0,23,False,False,(log(((((a+(((sigma8*(((a+a))**(-1))))**(-1)))*-(((g/(((a/sigma8))**(0.5)))+w))))**(0.5)))/a),"[div log sqrt mul add a inv mul sigma8 inv add a a neg add div g sqrt div
 a sigma8 w a]",1.0,1.0
